"key"	"name_de"
"A"	"ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"A01"	"STOMATOLOGIKA"
"A01A"	"STOMATOLOGIKA"
"A01AA"	"Mittel zur Kariesprophylaxe"
"A01AB"	"Antiinfektiva und Antiseptika zur oralen Lokalbehandlung"
"A01AC"	"Corticosteroide zur oralen Lokalbehandlung"
"A01AD"	"Andere Mittel zur oralen Lokalbehandlung"
"A01AE"	"Lokalanästhetika für die orale Lokalbehandlung"
"A01AH"	"Homöopathische und anthroposophische Stomatologika"
"A01AP"	"Pflanzliche Stomatologika"
"A02"	"MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN"
"A02A"	"ANTACIDA"
"A02AA"	"Magnesium-haltige Verbindungen"
"A02AB"	"Aluminium-haltige Verbindungen"
"A02AC"	"Calcium-haltige Verbindungen"
"A02AD"	"Kombinationen und Komplexe von Aluminium-, Calcium- und Magnesium-haltigen Verbindungen"
"A02AF"	"Antacida mit Karminativa"
"A02AG"	"Antacida mit Spasmolytika"
"A02AH"	"Antacida mit Natriumbicarbonat"
"A02AX"	"Antacida, andere Kombinationen"
"A02B"	"MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT"
"A02BA"	"Histamin-H2-Rezeptorantagonisten"
"A02BB"	"Prostaglandine"
"A02BC"	"Protonenpumpenhemmer"
"A02BD"	"Kombinationen zur Eradikation von Helicobacter pylori"
"A02BX"	"Andere Mittel bei peptischem Ulkus und gastrooesophagealer Refluxkrankheit"
"A02X"	"ANDERE MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN"
"A02XA"	"Andere Mittel bei Säure bedingten Erkrankungen"
"A02XH"	"Andere homöopathische und anthroposophische Mittel bei Säure bedingten Erkrankungen"
"A02XP"	"Andere pflanzliche Mittel bei Säure bedingten Erkrankungen"
"A03"	"MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN"
"A03A"	"MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN"
"A03AA"	"Synthetische Anticholinergika, Ester mit tertiären Aminogruppen"
"A03AB"	"Synthetische Anticholinergika, quartäre Ammonium-Verbindungen"
"A03AC"	"Synthetische Spasmolytika, Amide mit tertiären Aminen"
"A03AD"	"Papaverin und Derivate"
"A03AE"	"Serotonin-Rezeptor-Antagonisten"
"A03AH"	"Andere homöopathische und anthroposophische Mittel bei funktionellen gastrointestinalen Störungen"
"A03AP"	"Andere pflanzliche Mittel bei funktionellen gastrointestinalen Störungen"
"A03AX"	"Andere Mittel bei funktionellen gastrointestinalen Störungen"
"A03B"	"BELLADONNA UND DERIVATE, REIN"
"A03BA"	"Belladonna-Alkaloide, tertiäre Amine"
"A03BB"	"Belladonna-Alkaloide, halbsynthetisch, quartäre Ammonium-Verbindungen"
"A03C"	"SPASMOLYTIKA IN KOMBINATION MIT PSYCHOLEPTIKA"
"A03CA"	"Synthetische Anticholinergika in Kombination mit Psycholeptika"
"A03CB"	"Belladonna und Derivate in Kombination mit Psycholeptika"
"A03CC"	"Andere Spasmolytika in Kombination mit Psycholeptika"
"A03D"	"SPASMOLYTIKA IN KOMBINATION MIT ANALGETIKA"
"A03DA"	"Synthetische Anticholinergika in Kombination mit Analgetika"
"A03DB"	"Belladonna und Derivate in Kombination mit Analgetika"
"A03DC"	"Andere Spasmolytika in Kombination mit Analgetika"
"A03E"	"SPASMOLYTIKA UND ANTICHOLINERGIKA IN KOMBINATION MIT ANDEREN MITTELN"
"A03EA"	"Spasmolytika, Psycholeptika und Analgetika in Kombination"
"A03ED"	"Spasmolytika in Kombination mit anderen Mitteln"
"A03F"	"PROKINETIKA"
"A03FA"	"Prokinetika"
"A03FP"	"Pflanzliche Prokinetika"
"A03H"	"ANDERE HOMÖOPATHISCHE UND ANTHROPOSOPHISCHE ZUBEREITUNGEN"
"A03HH"	"Homöopathische und anthroposophische Spasmolytika"
"A03P"	"ANDERE PFLANZLICHE ZUBEREITUNGEN"
"A03PP"	"Pflanzliche Spasmolytika"
"A04"	"ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT"
"A04A"	"ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT"
"A04AA"	"Serotonin-5HT3-Antagonisten"
"A04AB"	"Antihistaminika"
"A04AD"	"Andere Antiemetika"
"A04AH"	"Homöopathische und anthroposophische Antiemetika"
"A04AP"	"Pflanzliche Antiemetika"
"A05"	"GALLEN- UND LEBERTHERAPIE"
"A05A"	"GALLENTHERAPIE"
"A05AA"	"Gallensäure-haltige Zubereitungen"
"A05AB"	"Zubereitungen zur Gallentherapie"
"A05AC"	"Gallentherapeutika in Kombination"
"A05AH"	"Homöopathische und anthroposophische Mittel zur Gallentherapie"
"A05AP"	"Pflanzliche Mittel zur Gallentherapie"
"A05AX"	"Andere Mittel zur Gallentherapie"
"A05B"	"LEBERTHERAPIE, LIPOTROPE SUBSTANZEN"
"A05BA"	"Lebertherapie"
"A05BH"	"Homöopathische und anthroposophische Mittel zur Lebertherapie"
"A05BP"	"Pflanzliche Mittel zur Lebertherapie"
"A05C"	"MITTEL ZUR GALLENTHERAPIE UND LIPOTROPE SUBSTANZEN IN KOMBINATION"
"A06"	"MITTEL GEGEN OBSTIPATION"
"A06A"	"MITTEL GEGEN OBSTIPATION"
"A06AA"	"Gleitmittel, Emollientia"
"A06AB"	"Kontaktlaxanzien"
"A06AC"	"Quellmittel"
"A06AD"	"Osmotisch wirkende Laxanzien"
"A06AG"	"Klysmen"
"A06AH"	"Periphere Opioidrezeptor-Antagonisten"
"A06AX"	"Andere Mittel gegen Obstipation"
"A07"	"ANTIDIARRHOIKA UND INTESTINALE ANTIPHLOGISTIKA/ANTIINFEKTIVA"
"A07A"	"INTESTINALE ANTIINFEKTIVA"
"A07AA"	"Antibiotika"
"A07AB"	"Sulfonamide"
"A07AC"	"Imidazol-Derivate"
"A07AX"	"Andere intestinale Antiinfektiva"
"A07B"	"INTESTINALE ADSORBENZIEN"
"A07BA"	"Kohle-haltige Zubereitungen"
"A07BB"	"Bismut-haltige Zubereitungen"
"A07BC"	"Andere intestinale Adsorbenzien"
"A07BP"	"Pflanzliche Adsorbenzien"
"A07C"	"ELEKTROLYTE MIT KOHLENHYDRATEN"
"A07CA"	"Elektrolyte zur oralen Rehydrierung"
"A07D"	"MOTILITÄTSHEMMER"
"A07DA"	"Motilitätshemmer"
"A07E"	"INTESTINALE ANTIPHLOGISTIKA"
"A07EA"	"Corticosteroide mit lokaler Wirkung"
"A07EB"	"Antiallergika, exkl. Corticosteroide"
"A07EC"	"Aminosalicylsäure und ähnliche Mittel"
"A07ED"	"Andere entzündungshemmende Mittel"
"A07EF"	"Mikrobielle Antiphlogistika"
"A07F"	"MIKROBIELLE ANTIDIARRHOIKA"
"A07FA"	"Mikrobielle Antidiarrhoika"
"A07X"	"ANDERE ANTIDIARRHOIKA"
"A07XA"	"Andere Antidiarrhoika"
"A07XH"	"Homöopathische und anthroposophische Antidiarrhoika"
"A07XP"	"Pflanzliche  Antidiarrhoika"
"A08"	"ANTIADIPOSITA, EXKL. DIÄTETIKA"
"A08A"	"ANTIADIPOSITA, EXKL. DIÄTETIKA"
"A08AA"	"Zentral wirkende Antiadiposita"
"A08AB"	"Peripher wirkende Antiadiposita"
"A08AH"	"Homöopathische und anthroposophische Antiadiposita"
"A08AX"	"Andere Antiadiposita"
"A09"	"DIGESTIVA, INKL. ENZYME"
"A09A"	"DIGESTIVA, INKL. ENZYME"
"A09AA"	"Enzym-haltige Zubereitungen"
"A09AB"	"Säure-haltige Zubereitungen"
"A09AC"	"Enzym- und Säure-haltige Zubereitungen, Kombinationen"
"A09AH"	"Homöopathische und anthroposophische Digestiva"
"A09AP"	"Pflanzliche Digestiva"
"A09AX"	"Andere Digestiva"
"A10"	"ANTIDIABETIKA"
"A10A"	"INSULINE UND ANALOGA"
"A10AB"	"Insuline und Analoga zur Injektion, schnell wirkend"
"A10AC"	"Insuline und Analoga zur Injektion, intermediär wirkend"
"A10AD"	"Insuline und Analoga zur Injektion, intermediär oder lang wirkend kombiniert mit schnell wirkend"
"A10AE"	"Insuline und Analoga zur Injektion, lang wirkend"
"A10AF"	"Insuline und Analoga zur Inhalation"
"A10B"	"ANTIDIABETIKA, EXKL. INSULINE"
"A10BA"	"Biguanide"
"A10BB"	"Sulfonylharnstoffe"
"A10BC"	"Sulfonamide (heterozyklisch)"
"A10BD"	"Kombinationen mit oralen Antidiabetika"
"A10BF"	"Alpha-Glukosidasehemmer"
"A10BG"	"Thiazolidindione"
"A10BH"	"Dipeptidyl-Peptidase-4-Inhibitoren"
"A10BX"	"Andere Antidiabetika, exkl. Insuline"
"A10X"	"ANDERE ANTIDIABETIKA"
"A10XA"	"Aldosereduktasehemmer"
"A10XH"	"Homöopathische und anthroposophische Antidiabetika"
"A10XP"	"Pflanzliche Antidiabetika"
"A11"	"VITAMINE"
"A11A"	"MULTIVITAMINE, KOMBINATIONEN"
"A11AA"	"Multivitamine mit Mineralstoffen"
"A11AB"	"Multivitamine, andere Kombinationen"
"A11B"	"MULTIVITAMINE, REIN"
"A11BA"	"Multivitamine, rein"
