"key"	"name_de"	"name_en"
"A"	"ALIMENTÄRES SYSTEM UND STOFFWECHSEL"	"Alimentary tract and metabolism"
"A01"	"STOMATOLOGIKA"	"Stomatological preparations"
"A01A"	"STOMATOLOGIKA"	"Stomatological preparations"
"A01AA"	"Mittel zur Kariesprophylaxe"	"Caries prophylactic agents"
"A01AB"	"Antiinfektiva und Antiseptika zur oralen Lokalbehandlung"	"Anti-infectives and antiseptics for local oral treatment"
"A01AC"	"Corticosteroide zur oralen Lokalbehandlung"	"Corticosteroids for local oral treatment"
"A01AD"	"Andere Mittel zur oralen Lokalbehandlung"	"Other agents for local oral treatment"
"A01AE"	"Lokalanästhetika für die orale Lokalbehandlung"	NA
"A01AH"	"Homöopathische und anthroposophische Stomatologika"	NA
"A01AP"	"Pflanzliche Stomatologika"	NA
"A02"	"MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN"	"Drugs for acid related disorders"
"A02A"	"ANTACIDA"	"Antacid drugs (Stomach acid drugs)"
"A02AA"	"Magnesium-haltige Verbindungen"	"Magnesium compounds"
"A02AB"	"Aluminium-haltige Verbindungen"	"Aluminium compounds"
"A02AC"	"Calcium-haltige Verbindungen"	"Calcium compounds list"
"A02AD"	"Kombinationen und Komplexe von Aluminium-, Calcium- und Magnesium-haltigen Verbindungen"	"Combinations and complexes of aluminium, calcium and magnesium compounds"
"A02AF"	"Antacida mit Karminativa"	"Antacids with antiflatulents"
"A02AG"	"Antacida mit Spasmolytika"	"Antacids with antispasmodics"
"A02AH"	"Antacida mit Natriumbicarbonat"	"Antacids with sodium bicarbonate"
"A02AX"	"Antacida, andere Kombinationen"	"Antacids, other combinations"
"A02B"	"MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT"	"Drugs for peptic ulcer and gastro-oesophageal reflux disease"
"A02BA"	"Histamin-H2-Rezeptorantagonisten"	"H2-receptor antagonists"
"A02BB"	"Prostaglandine"	"Prostaglandins"
"A02BC"	"Protonenpumpenhemmer"	"Proton pump inhibitors"
"A02BD"	"Kombinationen zur Eradikation von Helicobacter pylori"	"Combinations for eradication of Helicobacter pylori"
"A02BX"	"Andere Mittel bei peptischem Ulkus und gastrooesophagealer Refluxkrankheit"	"Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD/GERD)"
"A02X"	"ANDERE MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN"	"Other drugs for acid related disorders"
"A02XA"	"Andere Mittel bei Säure bedingten Erkrankungen"	NA
"A02XH"	"Andere homöopathische und anthroposophische Mittel bei Säure bedingten Erkrankungen"	NA
"A02XP"	"Andere pflanzliche Mittel bei Säure bedingten Erkrankungen"	NA
"A03"	"MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN"	"Drugs for functional gastrointestinal disorders"
"A03A"	"MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN"	"Drugs for functional bowel disorders"
"A03AA"	"Synthetische Anticholinergika, Ester mit tertiären Aminogruppen"	"Synthetic anticholinergics, esters with tertiary amino group"
"A03AB"	"Synthetische Anticholinergika, quartäre Ammonium-Verbindungen"	"Synthetic anticholinergics, quaternary ammonium compounds"
"A03AC"	"Synthetische Spasmolytika, Amide mit tertiären Aminen"	"Synthetic antispasmodics, amides with tertiary amines"
"A03AD"	"Papaverin und Derivate"	"Papaverine and derivatives"
"A03AE"	"Serotonin-Rezeptor-Antagonisten"	"Serotonin receptor antagonists"
"A03AH"	"Andere homöopathische und anthroposophische Mittel bei funktionellen gastrointestinalen Störungen"	NA
