"key"	"name_de"	"ddd"
"A01AA01"	"Natriumfluorid"	"1,1 mg O 0.5 mg Fluorid"
"A01AA02"	"Natriummonofluorphosphat"	""
"A01AA03"	"Olaflur"	"1,1 mg O"
"A01AA04"	"Zinn(II)-fluorid"	""
"A01AA05"	"Fluorsilan"	""
"A01AA30"	"Kombinationen"	""
"A01AA51"	"Natriumfluorid, Kombinationen"	""
"A01AB02"	"Wasserstoffperoxid"	"60 mg O"
"A01AB03"	"Chlorhexidin"	"30 mg O"
"A01AB04"	"Amphotericin B"	"40 mg O"
"A01AB05"	"Polynoxylin"	"0,18 g O"
"A01AB06"	"Domiphen"	"3 mg O"
"A01AB07"	"Oxychinolin"	"80 mg O"
"A01AB08"	"Neomycin"	""
"A01AB09"	"Miconazol"	"0,2 g O"
"A01AB10"	"Natamycin"	"20 mg O"
"A01AB11"	"Verschiedene"	""
"A01AB12"	"Hexetidin"	""
"A01AB13"	"Tetracyclin"	""
"A01AB14"	"Benzoxoniumchlorid"	""
"A01AB15"	"Tibezoniumiodid"	""
"A01AB16"	"Mepartricin"	""
"A01AB17"	"Metronidazol"	""
"A01AB18"	"Clotrimazol"	""
"A01AB19"	"Natriumperborat"	""
"A01AB21"	"Chlortetracyclin"	""
"A01AB22"	"Doxycyclin"	""
"A01AB23"	"Minocyclin"	"1 mg O"
"A01AB24"	"Thymol"	""
"A01AB26"	"Aluminiumchlorid"	""
"A01AB27"	"Ethacridinlactat"	""
"A01AB29"	"Eugenol"	""
"A01AB31"	"Natriumhypochlorit"	""
"A01AB32"	"Natriumpercarbonat"	""
"A01AB33"	"Nystatin"	"500 000 IE O "
"A01AB36"	"Aluminiumchlorat"	""
"A01AB37"	"Aluminiumsulfat"	""
"A01AB39"	"Andere Aluminium-haltige Verbindungen"	""
"A01AB50"	"Kombinationen"	""
"A01AB53"	"Chlorhexidin, Kombinationen"	""
"A01AB57"	"Oxychinolin, Kombinationen"	""
"A01AB62"	"Hexetidin, Kombinationen"	""
"A01AB75"	"Chlorphenol, Kombinationen"	""
"A01AB76"	"Aluminiumchlorid, Kombinationen"	""
"A01AB78"	"Sulfanilamid, Kombinationen"	""
"A01AB84"	"Paraformaldehyd, Kombinationen"	""
"A01AB85"	"Formaldehyd, Kombinationen"	""
"A01AB88"	"Azulen, Kombinationen"	""
"A01AB90"	"Demeclocyclin, Kombinationen"	""
"A01AC01"	"Triamcinolon"	""
"A01AC02"	"Dexamethason"	""
"A01AC03"	"Hydrocortison"	""
"A01AC04"	"Prednisolon"	""
"A01AC05"	"Betamethason"	""
"A01AC54"	"Prednisolon, Kombinationen"	""
"A01AD01"	"Epinephrin"	""
"A01AD02"	"Benzydamin"	"9 mg O"
"A01AD05"	"Acetylsalicylsäure"	""
"A01AD06"	"Adrenalon"	""
"A01AD07"	"Amlexanox"	""
"A01AD08"	"Becaplermin"	""
