"key"	"name_de"	"name_en"	"level"
"A"	"ALIMENTÄRES SYSTEM UND STOFFWECHSEL"	"Alimentary tract and metabolism"	1
"A01"	"STOMATOLOGIKA"	"Stomatological preparations"	2
"A01A"	"STOMATOLOGIKA"	"Stomatological preparations"	3
"A01AA"	"Mittel zur Kariesprophylaxe"	"Caries prophylactic agents"	4
"A01AB"	"Antiinfektiva und Antiseptika zur oralen Lokalbehandlung"	"Anti-infectives and antiseptics for local oral treatment"	4
"A01AC"	"Corticosteroide zur oralen Lokalbehandlung"	"Corticosteroids for local oral treatment"	4
"A01AD"	"Andere Mittel zur oralen Lokalbehandlung"	"Other agents for local oral treatment"	4
"A01AE"	"Lokalanästhetika für die orale Lokalbehandlung"	NA	4
"A01AH"	"Homöopathische und anthroposophische Stomatologika"	NA	4
"A01AP"	"Pflanzliche Stomatologika"	NA	4
"A02"	"MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN"	"Drugs for acid related disorders"	2
"A02A"	"ANTACIDA"	"Antacid drugs (Stomach acid drugs)"	3
"A02AA"	"Magnesium-haltige Verbindungen"	"Magnesium compounds"	4
"A02AB"	"Aluminium-haltige Verbindungen"	"Aluminium compounds"	4
"A02AC"	"Calcium-haltige Verbindungen"	"Calcium compounds list"	4
"A02AD"	"Kombinationen und Komplexe von Aluminium-, Calcium- und Magnesium-haltigen Verbindungen"	"Combinations and complexes of aluminium, calcium and magnesium compounds"	4
"A02AF"	"Antacida mit Karminativa"	"Antacids with antiflatulents"	4
"A02AG"	"Antacida mit Spasmolytika"	"Antacids with antispasmodics"	4
"A02AH"	"Antacida mit Natriumbicarbonat"	"Antacids with sodium bicarbonate"	4
"A02AX"	"Antacida, andere Kombinationen"	"Antacids, other combinations"	4
"A02B"	"MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT"	"Drugs for peptic ulcer and gastro-oesophageal reflux disease"	3
"A02BA"	"Histamin-H2-Rezeptorantagonisten"	"H2-receptor antagonists"	4
"A02BB"	"Prostaglandine"	"Prostaglandins"	4
"A02BC"	"Protonenpumpenhemmer"	"Proton pump inhibitors"	4
"A02BD"	"Kombinationen zur Eradikation von Helicobacter pylori"	"Combinations for eradication of Helicobacter pylori"	4
"A02BX"	"Andere Mittel bei peptischem Ulkus und gastrooesophagealer Refluxkrankheit"	"Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD/GERD)"	4
"A02X"	"ANDERE MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN"	"Other drugs for acid related disorders"	3
