"key"	"name_de"	"name_en"	"level"
"A01AA01"	"Natriumfluorid"	NA	5
"A01AA02"	"Natriummonofluorphosphat"	NA	5
"A01AA03"	"Olaflur"	NA	5
"A01AA04"	"Zinn(II)-fluorid"	NA	5
"A01AA05"	"Fluorsilan"	NA	5
"A01AA30"	"Kombinationen"	NA	5
"A01AA51"	"Natriumfluorid, Kombinationen"	NA	5
"A01AB02"	"Wasserstoffperoxid"	NA	5
"A01AB03"	"Chlorhexidin"	NA	5
"A01AB04"	"Amphotericin B"	NA	5
"A01AB05"	"Polynoxylin"	NA	5
"A01AB06"	"Domiphen"	NA	5
"A01AB07"	"Oxychinolin"	NA	5
"A01AB08"	"Neomycin"	NA	5
"A01AB09"	"Miconazol"	NA	5
"A01AB10"	"Natamycin"	NA	5
"A01AB11"	"Verschiedene"	NA	5
"A01AB12"	"Hexetidin"	NA	5
"A01AB13"	"Tetracyclin"	NA	5
"A01AB14"	"Benzoxoniumchlorid"	NA	5
"A01AB15"	"Tibezoniumiodid"	NA	5
"A01AB16"	"Mepartricin"	NA	5
"A01AB17"	"Metronidazol"	NA	5
"A01AB18"	"Clotrimazol"	NA	5
"A01AB19"	"Natriumperborat"	NA	5
"A01AB21"	"Chlortetracyclin"	NA	5
"A01AB22"	"Doxycyclin"	NA	5
"A01AB23"	"Minocyclin"	NA	5
"A01AB24"	"Thymol"	NA	5
"A01AB26"	"Aluminiumchlorid"	NA	5
"A01AB27"	"Ethacridinlactat"	NA	5
"A01AB29"	"Eugenol"	NA	5
"A01AB31"	"Natriumhypochlorit"	NA	5
"A01AB32"	"Natriumpercarbonat"	NA	5
"A01AB33"	"Nystatin"	NA	5
"A01AB36"	"Aluminiumchlorat"	NA	5
"A01AB37"	"Aluminiumsulfat"	NA	5
"A01AB39"	"Andere Aluminium-haltige Verbindungen"	NA	5
"A01AB50"	"Kombinationen"	NA	5
"A01AB53"	"Chlorhexidin, Kombinationen"	NA	5
"A01AB57"	"Oxychinolin, Kombinationen"	NA	5
"A01AB62"	"Hexetidin, Kombinationen"	NA	5
"A01AB75"	"Chlorphenol, Kombinationen"	NA	5
"A01AB76"	"Aluminiumchlorid, Kombinationen"	NA	5
"A01AB78"	"Sulfanilamid, Kombinationen"	NA	5
"A01AB84"	"Paraformaldehyd, Kombinationen"	NA	5
"A01AB85"	"Formaldehyd, Kombinationen"	NA	5
"A01AB88"	"Azulen, Kombinationen"	NA	5
"A01AB90"	"Demeclocyclin, Kombinationen"	NA	5
"A01AC01"	"Triamcinolon"	NA	5
"A01AC02"	"Dexamethason"	NA	5
"A01AC03"	"Hydrocortison"	NA	5
"A01AC04"	"Prednisolon"	NA	5
"A01AC05"	"Betamethason"	NA	5
